Year,State,Incident Type,Month,Count of Incidents,Total Obligated
2016,Alabama,Severe Storm(s),Jan,1,$37435207.15
2016,Alaska,Severe Storm(s),Feb,1,$11464133.02
2016,Arkansas,Severe Storm(s),Feb,1,$12116962.16
2016,Arkansas,Severe Storm(s),May,1,$2365251.34
2016,Delaware,Snow,Mar,1,$1602711.50
2016,District of Columbia,Snow,Mar,1,$16996776.09
2016,Florida,Hurricane,Oct,1,$382700470.09
2016,Florida,Hurricane,Sep,1,$59529765.30
2016,Georgia,Hurricane,Oct,1,$95628128.28
2016,Georgia,Severe Storm(s),Feb,1,$19610444.92
2016,Hawaii,Mud/Landslide,Oct,1,$3927063.51
2016,Idaho,Severe Storm(s),Feb,1,$13228232.11
2016,Iowa,Flood,Oct,1,$16502830.32
2016,Iowa,Flood,Sep,1,$5570693.44
2016,Kansas,Severe Storm(s),Oct,1,$6745588.34
2016,Kentucky,Severe Storm(s),Aug,1,$4791966.21
2016,Louisiana,Flood,Aug,1,$691410438.05
2016,Louisiana,Flood,Feb,1,$6999940.03
2016,Louisiana,Flood,Mar,1,$86172659.15
2016,Maryland,Flood,Sep,1,$7462543.93
2016,Maryland,Snow,Mar,1,$69592586.94
2016,Minnesota,Flood,Nov,1,$7013278.20
2016,Mississippi,Flood,Mar,1,$9091125.98
2016,Mississippi,Severe Storm(s),Jan,1,$5743909.87
2016,Missouri,Flood,Jan,1,$33959526.91
2016,Montana,Severe Storm(s),May,1,$1690433.90
2016,Montana,Tornado,Aug,1,$3236435.63
2016,New Jersey,Severe Storm(s),Mar,1,$81516064.50
2016,North Carolina,Hurricane,Oct,1,$292430509.16
2016,Oklahoma,Flood,Jul,1,$4226556.24
2016,Oklahoma,Severe Storm(s),Feb,1,$49769983.94
2016,Oregon,Severe Storm(s),Feb,1,$29166256.59
2016,Pennsylvania,Flood,Dec,1,$25469298.35
2016,Pennsylvania,Snow,Mar,1,$44619194.68
2016,South Carolina,Hurricane,Oct,1,$243842687.10
2016,Tennessee,Fire,Dec,1,$3961245.33
2016,Texas,Flood,Apr,1,$38627244.91
2016,Texas,Flood,Jun,1,$61616877.79
2016,Texas,Flood,Mar,1,$31955602.64
2016,Texas,Severe Storm(s),Feb,1,$24259574.13
2016,Virginia,Hurricane,Nov,1,$16482441.42
2016,Virginia,Snow,Mar,1,$46994294.43
2016,Washington,Flood,Feb,1,$11215447.74
2016,Washington,Severe Storm(s),Jan,1,$24996227.14
2016,West Virginia,Flood,Jun,1,$368415816.73
2016,Wisconsin,Flood,Oct,1,$8818061.59
2016,Wisconsin,Severe Storm(s),Aug,1,$11009376.93
2017,Alabama,Hurricane,Nov,1,$5962757.62
2017,Alabama,Hurricane,Sep,1,$585571.92
2017,Alaska,Severe Storm(s),Dec,1,$8647345.35
2017,Arkansas,Severe Storm(s),Jun,1,$28044295.10
2017,California,Fire,Oct,1,$385178988.57
2017,California,Flood,Apr,1,$424825183.85
2017,California,Flood,Mar,1,$54586880.96
2017,California,Severe Storm(s),Feb,2,$127917846.00
2017,California,Severe Storm(s),May,1,$269934.77
2017,Florida,Hurricane,Oct,1,$462568.57
2017,Florida,Hurricane,Sep,2,$1900797742.09
2017,Georgia,Hurricane,Sep,1,$121003373.31
2017,Georgia,Severe Storm(s),Jan,1,$15509754.82
2017,Georgia,Tornado,Jan,1,$22970819.68
2017,Idaho,Flood,Apr,1,$7487144.48
2017,Idaho,Flood,Aug,1,$2090929.48
2017,Idaho,Flood,May,1,$7952093.73
2017,Idaho,Flood,Oct,1,$2874403.26
