Year,state,incidentType,month,Count of incidents
2016,Alabama,Severe Storm(s),Jan,759
2016,Alaska,Severe Storm(s),Feb,6
2016,Arkansas,Severe Storm(s),Feb,392
2016,Arkansas,Severe Storm(s),May,90
2016,Delaware,Snow,Mar,26
2016,District of Columbia,Snow,Mar,64
2016,Florida,Hurricane,Oct,1124
2016,Florida,Hurricane,Sep,506
2016,Georgia,Hurricane,Oct,545
2016,Georgia,Severe Storm(s),Feb,259
2016,Hawaii,Mud/Landslide,Oct,23
2016,Idaho,Severe Storm(s),Feb,17
2016,Iowa,Flood,Oct,332
2016,Iowa,Flood,Sep,123
2016,Kansas,Severe Storm(s),Oct,149
2016,Kentucky,Severe Storm(s),Aug,189
2016,Louisiana,Flood,Aug,1564
2016,Louisiana,Flood,Feb,37
2016,Louisiana,Flood,Mar,1007
2016,Maryland,Flood,Sep,46
2016,Maryland,Snow,Mar,497
2016,Minnesota,Flood,Nov,278
2016,Mississippi,Flood,Mar,313
2016,Mississippi,Severe Storm(s),Jan,113
2016,Missouri,Flood,Jan,808
2016,Montana,Severe Storm(s),May,33
2016,Montana,Tornado,Aug,14
2016,New Jersey,Severe Storm(s),Mar,1035
2016,North Carolina,Hurricane,Oct,1993
2016,Oklahoma,Flood,Jul,84
2016,Oklahoma,Severe Storm(s),Feb,398
2016,Oregon,Severe Storm(s),Feb,420
2016,Pennsylvania,Flood,Dec,172
2016,Pennsylvania,Snow,Mar,1223
2016,South Carolina,Hurricane,Oct,1130
2016,Tennessee,Fire,Dec,44
2016,Texas,Flood,Apr,592
2016,Texas,Flood,Jun,1003
2016,Texas,Flood,Mar,319
2016,Texas,Severe Storm(s),Feb,366
2016,Virginia,Hurricane,Nov,156
2016,Virginia,Snow,Mar,222
2016,Washington,Flood,Feb,157
2016,Washington,Severe Storm(s),Jan,207
2016,West Virginia,Flood,Jun,2073
2016,Wisconsin,Flood,Oct,307
2016,Wisconsin,Severe Storm(s),Aug,223
2017,Alabama,Hurricane,Nov,91
2017,Alabama,Hurricane,Sep,40
2017,Alaska,Severe Storm(s),Dec,19
2017,Arkansas,Severe Storm(s),Jun,524
2017,California,Fire,Oct,349
2017,California,Flood,Apr,1306
2017,California,Flood,Mar,854
2017,California,Severe Storm(s),Feb,1072
2017,California,Severe Storm(s),May,4
2017,Florida,Hurricane,Oct,13
2017,Florida,Hurricane,Sep,12351
2017,Georgia,Hurricane,Sep,1751
2017,Georgia,Severe Storm(s),Jan,79
2017,Georgia,Tornado,Jan,180
2017,Idaho,Flood,Apr,135
2017,Idaho,Flood,Aug,45
2017,Idaho,Flood,May,132
2017,Idaho,Flood,Oct,48
2017,Iowa,Severe Storm(s),Aug,117
2017,Kansas,Severe Ice Storm,Feb,141
2017,Kansas,Severe Storm(s),Nov,86
2017,Kansas,Snow,Jun,142
2017,Louisiana,Hurricane,Oct,212
2017,Mississippi,Hurricane,Nov,168
2017,Mississippi,Severe Storm(s),May,103
2017,Mississippi,Tornado,Jan,61
